RowIndex,EncryptTimeTotal,AdditionTime,DecryptionTime,PlaintextSize,CiphertextSize,ExpansionRatio,InitialNoise,NoiseAfterAddition
201,1.1920928955078125e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.0171145,36.068458
202,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.7773677,35.1094708
203,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.835921999999999,31.343687999999997
204,1.430511474609375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,7.7929819,31.1719276
205,1.6689300537109375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,7.5072182,30.0288728
206,1.430511474609375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,7.7992959,31.1971836
207,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.0125889,32.0503556
208,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,7.7719807,31.0879228
209,1.9073486328125e-06,1.1920928955078125e-06,1.6689300537109375e-06,184,184,1.0,8.4132371,33.6529484
210,2.1457672119140625e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,8.2431056,32.9724224
211,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.2894378,33.1577512
212,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,7.821257900000001,31.285031600000003
213,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.4862991999999995,29.945196799999998
214,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.082480500000001,28.329922000000003
215,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.6650442,30.6601768
216,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.841957,31.367828
217,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.0954323,32.3817292
218,1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.3041099,33.2164396
219,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.193305500000001,32.773222000000004
220,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.401877899999999,33.607511599999995
221,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.5772671,34.3090684
222,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.2890166,33.1560664
223,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.349118,33.396472
224,1.430511474609375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,8.1806973,32.7227892
